N6705B exported datalog

"Sample interval: 0.0149914"
"Trigger sample: 0"
"Date: Fri May 15 12:10:31 2026"

Sample,"Volt avg 1","Curr avg 1","Volt avg 2","Curr avg 2"
0,5.00064,0.0136264,4.99971,0.0135338
1,5.00065,0.0136207,4.99972,0.0135321
2,5.00066,0.0136016,4.99972,0.0135217
3,5.00066,0.013641,4.9997,0.0135332
4,5.00066,0.0136479,4.99972,0.0135288
5,5.00065,0.0136082,4.99972,0.013513
6,5.00064,0.0136158,4.99972,0.0135085
7,5.00066,0.013612,4.99973,0.0135221
8,5.00068,0.0136206,4.99973,0.0135196
9,5.00068,0.013635,4.99972,0.0135456
10,5.00068,0.0136134,4.9997,0.0135154
11,5.00066,0.0136392,4.99975,0.0135236
12,5.00067,0.0136204,4.99971,0.0135184
13,5.00065,0.0136385,4.99973,0.0135393
14,5.00065,0.0136154,4.99972,0.0135188
15,5.00063,0.0136149,4.99971,0.013523
16,5.00064,0.0136204,4.99972,0.0135108
17,5.00065,0.0136302,4.99969,0.0135286
18,5.00065,0.0136312,4.99973,0.0135249
19,5.00069,0.0136227,4.99969,0.0135213
20,5.00063,0.0136403,4.9997,0.0135349
21,5.00068,0.0136123,4.99973,0.0135208
22,5.00067,0.013638,4.99974,0.0135159
23,5.00068,0.0136486,4.99973,0.0135424
24,5.00066,0.0136018,4.99973,0.0135186
25,5.00064,0.0136266,4.99974,0.0135373
26,5.00067,0.0136232,4.9997,0.013525
27,5.00068,0.0136379,4.99972,0.0135325
28,5.00067,0.013606,4.9997,0.0134959
29,5.00065,0.0136263,4.99974,0.0135249
30,5.00067,0.013641,4.99973,0.0135356
31,5.00066,0.0136259,4.99971,0.013526
32,5.00066,0.013614,4.99969,0.013507
33,5.00063,0.0136293,4.99971,0.0135346
34,5.00063,0.0136178,4.9997,0.0135111
35,5.00065,0.0136036,4.99971,0.0135037
36,5.00067,0.0136296,4.99975,0.0135246
37,5.00069,0.0136713,4.99974,0.0135647
38,5.00066,0.0136234,4.9997,0.0135218
39,5.00069,0.0136251,4.99973,0.0135246
40,5.00066,0.0136079,4.99971,0.0135201
41,5.00065,0.0136165,4.99972,0.0135237
42,5.00068,0.0136284,4.99971,0.0135198
43,5.00067,0.0136067,4.9997,0.0134988
44,5.00066,0.0136239,4.9997,0.0135265
45,5.00066,0.0136213,4.99972,0.0135194
46,5.00068,0.0135997,4.99972,0.0135163
47,5.00068,0.0136265,4.99971,0.0135237
48,5.00066,0.0136177,4.99973,0.0135139
49,5.00065,0.013625,4.99973,0.0135088
50,5.00066,0.0136167,4.99972,0.013516
51,5.00065,0.0136244,4.9997,0.0135228
52,5.00066,0.0136178,4.99972,0.0135069
53,5.00065,0.0136375,4.99972,0.0135176
54,5.00063,0.0136231,4.99968,0.0135213
55,5.00064,0.0136226,4.99971,0.0135202
56,5.00066,0.0135953,4.99973,0.0135022
57,5.00064,0.0136358,4.99972,0.0135317
58,5.00063,0.0136418,4.9997,0.0135523
59,5.00067,0.0136356,4.99972,0.0135433
60,5.00065,0.0136496,4.99973,0.0135564
61,5.00065,0.0136169,4.99973,0.0135125
62,5.00068,0.0136227,4.99972,0.0135142
63,5.00066,0.0136768,4.99974,0.013566
64,5.00067,0.0136245,4.99973,0.0135187
65,5.00068,0.0136258,4.99974,0.0135124
66,5.00065,0.0136342,4.99973,0.0135353
67,5.00065,0.0136214,4.99972,0.0135388
68,5.00064,0.0136428,4.99971,0.0135443
69,5.00067,0.0136239,4.99973,0.013523
70,5.00065,0.0136256,4.9997,0.0135213
71,5.00067,0.0136143,4.99972,0.0135065
72,5.00066,0.0136192,4.99972,0.0135156
73,5.00065,0.0136188,4.9997,0.013511
74,5.00064,0.0136045,4.99973,0.013513
75,5.00064,0.0136147,4.99972,0.0135255
76,5.00066,0.0136243,4.99974,0.0135326
77,5.00067,0.0136643,4.9997,0.0135496
78,5.00067,0.0136408,4.99976,0.01352
79,5.00066,0.0136266,4.99969,0.0135147
80,5.00067,0.0136178,4.99971,0.0135139
81,5.00067,0.0136263,4.99972,0.013517
82,5.00065,0.0136171,4.9997,0.0135213
83,5.00065,0.013617,4.9997,0.0135251
84,5.00065,0.0136198,4.99972,0.0135175
85,5.00063,0.0136331,4.99972,0.0135508
86,5.00065,0.0136246,4.99972,0.0135311
87,5.00066,0.0136253,4.99973,0.01353
88,5.00067,0.0136375,4.99971,0.0135197
89,5.00067,0.0136228,4.99972,0.0135149
90,5.00066,0.0136317,4.99973,0.0135279
91,5.00065,0.0136139,4.99972,0.0135371
92,5.00066,0.0136531,4.99971,0.0135263
93,5.00066,0.0136333,4.99968,0.0135243
94,5.00067,0.0136132,4.9997,0.0135208
95,5.00065,0.0136136,4.99972,0.013515
96,5.00064,0.0136365,4.99973,0.0135308
97,5.00065,0.013628,4.99972,0.0135236
98,5.00067,0.0136002,4.99971,0.0135045
99,5.00063,0.0136317,4.99969,0.013537
100,5.00063,0.0136586,4.99972,0.0135513
101,5.00066,0.0136168,4.99974,0.0135136
102,5.00066,0.0136319,4.99969,0.013517
103,5.00065,0.0136178,4.99972,0.0135098
104,5.00068,0.0136203,4.99972,0.0135126
105,5.00069,0.0136201,4.99969,0.0135118
106,5.00066,0.0136218,4.99969,0.0135134
107,5.00064,0.0136118,4.9997,0.0135252
108,5.0007,0.0136274,4.99973,0.0135255
109,5.00065,0.0136388,4.99972,0.0135168
110,5.00066,0.0136344,4.99973,0.0135165
111,5.00066,0.0136259,4.99972,0.0135298
112,5.00065,0.0136215,4.9997,0.0135112
113,5.0007,0.0136402,4.99974,0.0135364
114,5.00067,0.013667,4.99973,0.0135582
115,5.00067,0.0136306,4.99973,0.0135069
116,5.00068,0.0136029,4.99972,0.0135094
117,5.00067,0.0136264,4.9997,0.0135245
118,5.00067,0.0136354,4.99969,0.0135344
119,5.00066,0.0136067,4.99971,0.0135096
120,5.00065,0.0136209,4.99972,0.0135193
121,5.00066,0.0136327,4.99973,0.0135258
122,5.00065,0.0136216,4.99972,0.0135112
123,5.00066,0.0136384,4.99972,0.0135226
124,5.00063,0.013624,4.99973,0.0135209
125,5.00066,0.0136179,4.99968,0.013515
126,5.00065,0.0136342,4.99971,0.0135317
127,5.00067,0.0136085,4.99973,0.0135071
