N6705B exported datalog

"Sample interval: 0.0149914"
"Trigger sample: 0"
"Date: Fri May 15 12:39:12 2026"

Sample,"Volt avg 1","Curr avg 1","Volt avg 2","Curr avg 2"
0,5.0007,0.0136082,4.99974,0.0135206
1,5.00069,0.0136078,4.99975,0.0135074
2,5.0007,0.0136233,4.99974,0.0135287
3,5.00071,0.013613,4.99975,0.0135269
4,5.00069,0.0136176,4.99974,0.0135331
5,5.00067,0.0136028,4.99972,0.0135112
6,5.0007,0.0136304,4.99973,0.0135396
7,5.00066,0.0136025,4.99972,0.0135267
8,5.00069,0.0135984,4.99976,0.013512
9,5.00068,0.0136078,4.99976,0.0135341
10,5.00067,0.013612,4.99974,0.0135171
11,5.00071,0.0136103,4.99975,0.0135133
12,5.00068,0.0136254,4.99976,0.0135348
13,5.00069,0.0136058,4.99975,0.0141884
14,5.00066,0.0136022,4.99972,0.0146739
15,5.00069,0.0136043,4.99975,0.0135212
16,5.00068,0.0136124,4.99972,0.0135221
17,5.00066,0.0136031,4.99975,0.0135141
18,5.00068,0.0136082,4.99972,0.013526
19,5.00067,0.0136129,4.99976,0.0135219
20,5.00068,0.013613,4.99976,0.0135244
21,5.00069,0.0136208,4.99977,0.0135277
22,5.00068,0.0136283,4.99978,0.0135208
23,5.00066,0.0136157,4.99977,0.0135217
24,5.00067,0.0136107,4.99975,0.0135225
25,5.00069,0.0136145,4.99974,0.0135238
26,5.00068,0.0136351,4.99974,0.0135239
27,5.00067,0.0136167,4.99974,0.0135221
28,5.00068,0.0136208,4.99974,0.0135215
29,5.00067,0.0136173,4.99973,0.0135227
30,5.00066,0.013615,4.99977,0.013527
31,5.00068,0.0136019,4.99976,0.0135178
32,5.00067,0.0135983,4.99976,0.0135235
33,5.0007,0.0136283,4.99972,0.0135168
34,5.0007,0.0136253,4.99972,0.0135377
35,5.00069,0.0136042,4.99977,0.0135184
36,5.00067,0.013609,4.99975,0.0135223
37,5.0007,0.0136161,4.99973,0.0135147
38,5.00071,0.0136175,4.99972,0.0135047
39,5.0007,0.0136297,4.99973,0.0135315
40,5.0007,0.0136202,4.99976,0.0135215
41,5.00067,0.0136243,4.99976,0.0135318
42,5.00067,0.0136224,4.99973,0.0135243
43,5.00068,0.013606,4.99972,0.013518
44,5.00065,0.013611,4.99976,0.0135254
45,5.00069,0.0136215,4.99973,0.0135291
46,5.0007,0.0136206,4.99977,0.0135178
47,5.00068,0.0136109,4.99974,0.0135178
48,5.00073,0.0136129,4.99975,0.0135151
49,5.00069,0.0136197,4.99974,0.0135192
50,5.00071,0.0136307,4.99973,0.0135379
51,5.0007,0.0136097,4.99974,0.0135024
52,5.00071,0.0136074,4.99974,0.0164305
53,5.00069,0.013601,4.99974,0.0200297
54,5.0007,0.0136265,4.99974,0.0194021
55,5.00068,0.0136222,4.99975,0.0135134
56,5.00069,0.0136072,4.99975,0.0135163
57,5.0007,0.0136081,4.99976,0.01352
58,5.00069,0.0136135,4.99974,0.0135245
59,5.00067,0.0136263,4.99976,0.0135179
60,5.00068,0.0135997,4.99974,0.013505
61,5.00067,0.0136181,4.99977,0.0135256
62,5.00069,0.0136117,4.99972,0.0135234
63,5.00069,0.0136224,4.99974,0.0135226
64,5.00068,0.0136149,4.99975,0.0135325
65,5.00069,0.0136126,4.99973,0.0135197
66,5.00069,0.013617,4.99974,0.0135205
67,5.00072,0.0136102,4.99976,0.0135174
68,5.00071,0.0136124,4.99973,0.0135202
69,5.00068,0.0136151,4.99974,0.0135262
70,5.00069,0.0136168,4.99974,0.0135191
71,5.00069,0.0136199,4.99973,0.0135237
72,5.00069,0.0136083,4.99974,0.0135215
73,5.00068,0.0136169,4.99974,0.0135232
74,5.00069,0.0136088,4.99971,0.0135109
75,5.0007,0.0136138,4.9997,0.0135201
76,5.00068,0.0136148,4.99977,0.0135213
77,5.00072,0.0136227,4.99973,0.0135244
78,5.00071,0.0136356,4.99972,0.0135346
79,5.00068,0.013623,4.99973,0.0135236
80,5.00069,0.0136153,4.99976,0.0135192
81,5.00069,0.0136103,4.99973,0.0135236
82,5.0007,0.013612,4.99971,0.0135195
83,5.00069,0.0136225,4.99973,0.0135211
84,5.00067,0.0136114,4.99975,0.0135194
85,5.00069,0.0136134,4.99973,0.0135196
86,5.0007,0.0136044,4.99974,0.0135102
87,5.00073,0.013617,4.99973,0.01352
88,5.0007,0.0136119,4.99974,0.0135115
89,5.00071,0.013602,4.99973,0.0135049
90,5.0007,0.0136288,4.99975,0.0135306
91,5.00069,0.013611,4.99974,0.013519
92,5.00069,0.0136165,4.99973,0.0135213
93,5.00069,0.0135974,4.99973,0.0135103
94,5.00069,0.0136145,4.99975,0.0135128
95,5.00067,0.0136208,4.99976,0.0135238
96,5.00064,0.013611,4.99974,0.0135166
97,5.00072,0.0136192,4.99973,0.0135218
98,5.00067,0.0136163,4.99974,0.013509
99,5.00068,0.0136368,4.99975,0.0135275
100,5.0007,0.0136013,4.99973,0.0135014
101,5.0007,0.013615,4.99974,0.0135223
102,5.00069,0.0136114,4.99978,0.0135172
103,5.00067,0.0136263,4.99975,0.0135262
104,5.00069,0.0136348,4.99973,0.0135284
105,5.00067,0.0136116,4.99971,0.0135059
106,5.00068,0.0136028,4.99976,0.0135222
107,5.00069,0.0136235,4.99973,0.013523
108,5.00065,0.0136075,4.99972,0.013508
109,5.00067,0.0136083,4.99972,0.0135147
110,5.00069,0.0136223,4.99973,0.0135148
111,5.00066,0.0136163,4.99972,0.0135205
