N6705B exported datalog

"Sample interval: 0.0499917"
"Trigger sample: 0"
"Date: Fri May  8 14:43:11 2026"

Sample,"Volt avg 1","Curr avg 1","Volt avg 2","Curr avg 2"
0,5.00072,0.00957959,4.99978,0.00949051
1,5.00072,0.00958097,4.99978,0.00949115
2,5.00072,0.00958221,4.9998,0.00949077
3,5.00071,0.00958015,4.99978,0.00949194
4,5.00071,0.00958332,4.99978,0.00949394
5,5.00071,0.00957953,4.99979,0.00949172
6,5.00072,0.00957847,4.9998,0.00949264
7,5.00072,0.00957731,4.9998,0.00949277
8,5.00071,0.00958713,4.99977,0.00949441
9,5.00071,0.0095878,4.99979,0.00949099
10,5.00072,0.00958114,4.99979,0.00948628
11,5.00072,0.00958072,4.99979,0.00948982
12,5.00072,0.00958247,4.9998,0.00949094
13,5.00071,0.00958526,4.99978,0.00949242
14,5.00071,0.00958228,4.99979,0.0094944
15,5.00072,0.00958661,4.99979,0.00948859
16,5.00072,0.00958548,4.9998,0.00948985
17,5.00072,0.00958577,4.99981,0.00948916
18,5.00071,0.00958336,4.9998,0.00949033
19,5.0007,0.00958242,4.99979,0.00949315
20,5.00071,0.00958416,4.99979,0.00949426
21,5.00072,0.00958688,4.9998,0.00949525
22,5.00072,0.0095824,4.9998,0.00949674
23,5.00072,0.00958245,4.9998,0.00949255
24,5.00073,0.00958573,4.99978,0.00949297
25,5.00071,0.00958316,4.99979,0.00949336
26,5.00073,0.00958365,4.99978,0.00949584
27,5.00072,0.00958275,4.99979,0.00949545
28,5.00071,0.00958135,4.99979,0.00949676
29,5.00071,0.00958186,4.99981,0.00949183
30,5.00069,0.00958335,4.99978,0.00949303
31,5.00071,0.00958241,4.99978,0.00949223
32,5.0007,0.00958218,4.99978,0.00949292
33,5.00072,0.00958754,4.99977,0.00949181
34,5.00072,0.00984832,4.9998,0.00981393
35,5.00073,0.00968778,4.9998,0.0095033
36,5.00073,0.00960944,4.99978,0.00948851
37,5.00072,0.00959888,4.99976,0.00947773
38,5.00073,0.00960225,4.99979,0.00947851
39,5.00071,0.0095953,4.9998,0.00947862
40,5.00072,0.00959828,4.99979,0.00967323
41,5.00072,0.009832,4.9998,0.00961817
42,5.00072,0.00969695,4.9998,0.00950211
43,5.00072,0.0095864,4.9998,0.00947728
44,5.00071,0.00958399,4.9998,0.00947765
45,5.00072,0.00958466,4.99979,0.00947306
46,5.00072,0.00958725,4.99978,0.00947795
47,5.00073,0.00960467,4.9998,0.00980103
48,5.00074,0.00992546,4.9998,0.00949358
49,5.00071,0.00960978,4.9998,0.00950232
50,5.00072,0.00958623,4.99979,0.00949222
51,5.00072,0.00958545,4.99981,0.0094888
52,5.00072,0.00958758,4.99977,0.00949322
53,5.00072,0.00958363,4.99979,0.00949378
54,5.00071,0.00961122,4.9998,0.00980796
55,5.00073,0.00992722,4.9998,0.00950209
56,5.00073,0.00961502,4.99978,0.00950343
57,5.00072,0.00959471,4.99979,0.00948749
58,5.00074,0.00959964,4.9998,0.00949299
59,5.00071,0.00959808,4.9998,0.00948721
60,5.00072,0.00959844,4.9998,0.00968857
61,5.00075,0.009928,4.99981,0.0096031
62,5.00072,0.00961048,4.99979,0.00950454
63,5.00071,0.00958547,4.99977,0.00949483
64,5.00071,0.00958996,4.99978,0.0094936
65,5.00072,0.00958449,4.99979,0.00949228
66,5.00072,0.00959001,4.99978,0.00949505
67,5.00072,0.00960591,4.99981,0.00980802
68,5.00074,0.00992814,4.99979,0.00950322
69,5.0007,0.00960095,4.99977,0.00949382
70,5.00072,0.00958732,4.99979,0.00948028
71,5.0007,0.00959559,4.9998,0.00948562
72,5.00071,0.00958557,4.9998,0.00948045
73,5.00071,0.00958639,4.99979,0.009477
74,5.00074,0.0097868,4.99982,0.00980176
75,5.00072,0.00976253,4.9998,0.00950245
76,5.00072,0.00961139,4.99981,0.00951925
77,5.00073,0.00959832,4.99979,0.00948453
78,5.00072,0.00960166,4.9998,0.0094791
79,5.00072,0.00960207,4.9998,0.00947506
80,5.00072,0.00961263,4.9998,0.00971642
81,5.00073,0.00993449,4.9998,0.00957643
82,5.00072,0.00960568,4.99979,0.00950839
83,5.0007,0.00958609,4.99978,0.00948195
84,5.00071,0.00958598,4.99979,0.00948861
85,5.0007,0.00958375,4.9998,0.00948845
86,5.00071,0.00958463,4.99979,0.00948548
87,5.00071,0.00960455,4.99981,0.00981009
88,5.00073,0.00992898,4.99981,0.00949892
89,5.00073,0.00961118,4.99978,0.00950265
90,5.00072,0.00960566,4.99979,0.00949396
91,5.00071,0.00960077,4.99979,0.00947472
92,5.00072,0.00959671,4.99979,0.00947624
93,5.00071,0.00960195,4.99978,0.00947504
94,5.00071,0.00966536,4.9998,0.0098182
95,5.00074,0.00987849,4.99979,0.00950574
96,5.00072,0.00960481,4.99978,0.00949013
97,5.00071,0.00960054,4.99978,0.00948014
98,5.00074,0.00959857,4.99979,0.00948279
99,5.00072,0.00959863,4.99979,0.00947981
100,5.00072,0.00959929,4.99979,0.00972702
101,5.00071,0.00979536,4.99981,0.00957926
102,5.00073,0.00972857,4.9998,0.00950535
103,5.00073,0.00960159,4.9998,0.00948455
104,5.00072,0.00959955,4.99979,0.00947986
105,5.0007,0.00960449,4.9998,0.00947829
106,5.00072,0.00960106,4.99979,0.00947704
107,5.00071,0.00960319,4.99978,0.00978878
108,5.00075,0.00993169,4.99981,0.00951072
109,5.00071,0.00960523,4.99979,0.00949707
110,5.00072,0.00960473,4.99979,0.00948023
111,5.00073,0.00960697,4.99979,0.00948223
112,5.00072,0.00960243,4.99979,0.00947693
113,5.00072,0.009597,4.9998,0.00947861
114,5.00072,0.00960718,4.99982,0.00978996
115,5.00072,0.00992014,4.99979,0.00950061
116,5.00073,0.00961857,4.99979,0.00950721
117,5.00071,0.00959955,4.99978,0.00947692
118,5.00074,0.0095977,4.99979,0.0094763
119,5.00074,0.00959858,4.99979,0.00947574
120,5.00073,0.00960006,4.9998,0.00948089
121,5.00072,0.00959824,4.99979,0.00980727
122,5.00074,0.0099294,4.9998,0.00950823
123,5.00072,0.00961548,4.9998,0.0094976
124,5.00071,0.00960287,4.99978,0.00947968
125,5.00072,0.00959592,4.99978,0.00947597
126,5.00072,0.00960206,4.9998,0.00947841
127,5.00071,0.00960128,4.99979,0.00971196
128,5.00072,0.00993734,4.99981,0.00957347
129,5.00072,0.00960885,4.99981,0.00951103
130,5.00071,0.00958628,4.99978,0.00949379
131,5.00072,0.00958523,4.99979,0.00949362
132,5.00071,0.00958062,4.99979,0.00949731
133,5.00071,0.00958537,4.99977,0.00949618
134,5.00072,0.00959196,4.99979,0.00949707
135,5.00074,0.00972904,4.9998,0.00980913
136,5.00074,0.00980613,4.9998,0.00950733
137,5.00072,0.00960593,4.9998,0.00949071
138,5.00073,0.00959932,4.9998,0.0094816
139,5.00072,0.00960165,4.9998,0.00947884
140,5.00073,0.00959797,4.99977,0.00948279
141,5.00071,0.00959775,4.9998,0.00947861
142,5.00072,0.00961086,4.9998,0.00980069
143,5.00074,0.0099155,4.99977,0.0095008
144,5.00071,0.00959855,4.9998,0.00950278
145,5.0007,0.00959904,4.99979,0.00949371
146,5.00074,0.00958874,4.99979,0.00949595
147,5.00072,0.00958162,4.9998,0.00949753
148,5.00072,0.00958512,4.99979,0.00949552
149,5.00074,0.00960814,4.9998,0.00980317
150,5.00073,0.00992693,4.9998,0.00949433
151,5.00073,0.00961103,4.99978,0.00950254
152,5.00072,0.00959936,4.9998,0.00949386
153,5.00073,0.00959953,4.99978,0.00949203
154,5.00073,0.00960012,4.99978,0.00949351
155,5.00072,0.00960083,4.99979,0.00949514
