N6705B exported datalog

"Sample interval: 0.0149914"
"Trigger sample: 0"
"Date: Mon May 11 12:14:34 2026"

Sample,"Volt avg 1","Curr avg 1","Volt avg 2","Curr avg 2"
0,5.00067,0.00945369,4.99976,0.00964624
1,5.00069,0.00945869,4.99979,0.00964998
2,5.00066,0.00946131,4.99977,0.00964999
3,5.00068,0.00946377,4.99978,0.00964824
4,5.00068,0.00946228,4.99976,0.0096466
5,5.0007,0.00946258,4.99976,0.00965726
6,5.00069,0.00945172,4.9998,0.00965402
7,5.00067,0.00945884,4.99977,0.0096457
8,5.00067,0.00945838,4.99979,0.00964743
9,5.00068,0.00945224,4.99979,0.00964955
10,5.00067,0.00946001,4.9998,0.00964558
11,5.00067,0.0094637,4.99978,0.00964837
12,5.00067,0.00946409,4.99976,0.0096481
13,5.00067,0.00945317,4.99977,0.00964669
14,5.00069,0.0094557,4.99978,0.00964532
15,5.00068,0.00945497,4.99977,0.00964392
16,5.00067,0.00945942,4.99977,0.00964813
17,5.00067,0.00946629,4.99974,0.00964966
18,5.00066,0.00946136,4.9998,0.00964727
19,5.0007,0.00946471,4.9998,0.00964727
20,5.00067,0.0094558,4.99978,0.00964277
21,5.0007,0.00947762,4.99978,0.00964488
22,5.00071,0.00963623,4.99976,0.00982155
23,5.00068,0.00955243,4.99979,0.00973193
24,5.00069,0.00946501,4.99978,0.00964223
25,5.00069,0.00946967,4.99978,0.00964756
26,5.00069,0.00946266,4.99978,0.00964776
27,5.00068,0.00946504,4.99976,0.00965158
28,5.00066,0.00946792,4.9998,0.00964763
29,5.00068,0.00945984,4.99977,0.00964716
30,5.00068,0.00946312,4.99976,0.00965781
31,5.00066,0.00945915,4.99978,0.0096406
32,5.00068,0.00945756,4.99976,0.00964509
33,5.00067,0.00946414,4.99977,0.00964571
34,5.00067,0.00945892,4.99979,0.00963789
35,5.00068,0.00945015,4.99977,0.00964261
36,5.00068,0.00945546,4.99977,0.0096471
37,5.00069,0.00945942,4.99976,0.00965353
38,5.00068,0.00946194,4.99978,0.00964722
39,5.00068,0.00945734,4.99977,0.00965075
40,5.00069,0.00945891,4.99978,0.00964337
41,5.00069,0.00946337,4.99976,0.00964682
42,5.00068,0.0094644,4.99978,0.00964212
43,5.0007,0.00946381,4.99978,0.00965203
