N6705B exported datalog

"Sample interval: 0.0499917"
"Trigger sample: 0"
"Date: Fri May  8 13:38:50 2026"

Sample,"Volt avg 1","Curr avg 1"
0,5.00074,0.0096103
1,5.00074,0.00961135
2,5.00073,0.00961093
3,5.00073,0.00961247
4,5.00074,0.00961439
5,5.00074,0.00961367
6,5.00073,0.00960852
7,5.00073,0.00960793
8,5.00072,0.00961145
9,5.00073,0.00961443
10,5.00073,0.00960865
11,5.00073,0.00960768
12,5.00073,0.00960584
13,5.00074,0.00960815
14,5.00074,0.00960742
15,5.00074,0.00961855
16,5.00074,0.00961191
17,5.00073,0.00961118
18,5.00073,0.00961034
19,5.00072,0.00961184
20,5.00072,0.00960906
21,5.00073,0.00961294
22,5.00073,0.00961017
23,5.00073,0.00961666
24,5.00073,0.00978622
25,5.00071,0.00959832
26,5.00073,0.00960403
27,5.00072,0.00959716
28,5.00072,0.00959726
29,5.00071,0.00960092
30,5.00073,0.00959931
31,5.00074,0.00960132
32,5.00073,0.00960048
33,5.00072,0.00959734
34,5.00073,0.00960251
35,5.00073,0.00960261
36,5.00071,0.00960027
37,5.00072,0.00961684
38,5.00073,0.00961766
39,5.00073,0.00961282
40,5.00073,0.00961489
41,5.00072,0.00961546
42,5.00072,0.00961241
43,5.00073,0.00960656
44,5.00072,0.00961214
45,5.00072,0.00961353
46,5.00073,0.00961267
47,5.00072,0.00961408
48,5.00073,0.00961291
49,5.00074,0.00961665
50,5.00074,0.00961684
51,5.00074,0.00961637
52,5.00074,0.00961323
53,5.00072,0.00961559
54,5.00073,0.00961084
55,5.00072,0.00961141
56,5.00074,0.00961095
57,5.00073,0.00961193
58,5.00071,0.00962563
59,5.00073,0.00959652
60,5.00073,0.00959445
61,5.00075,0.00959917
62,5.00073,0.00959776
63,5.00073,0.00960409
64,5.00072,0.00960092
65,5.00072,0.00960289
66,5.00072,0.00959997
67,5.00071,0.0095987
68,5.00072,0.00959761
69,5.00071,0.00959978
70,5.00072,0.00960033
71,5.0007,0.00959915
72,5.0007,0.00959653
73,5.00073,0.00959854
74,5.00073,0.00959378
75,5.00071,0.00959593
76,5.00073,0.0095987
77,5.00074,0.00959961
78,5.00073,0.00959585
79,5.00073,0.00959935
80,5.00072,0.0095961
81,5.00072,0.00960106
82,5.00072,0.00959765
83,5.00072,0.00959972
84,5.00071,0.00959739
85,5.00072,0.00959947
86,5.00072,0.00959653
87,5.00073,0.00960166
88,5.00074,0.0095985
89,5.00072,0.00960504
90,5.00073,0.00959689
91,5.00072,0.00959938
92,5.00071,0.00960091
93,5.00073,0.00960183
94,5.00071,0.00959395
95,5.00073,0.00994304
96,5.00073,0.00961019
97,5.00073,0.00962333
98,5.00073,0.00960768
99,5.00073,0.00961166
